title,sjr,quartile
Pacific Accounting Review,0.480,Q2
Polymer-Plastics Technology and Materials,0.480,Q2
"Proceedings -Design, Automation and Test in Europe, DATE",0.480,-
Proceedings of the Institution of Mechanical Engineers Part M: Journal of Engineering for the Maritime Environment,0.480,Q2
Zootaxa,0.480,Q2
Boundary Value Problems,0.479,Q2
Drug Target Insights,0.479,Q2
EMJ - Engineering Management Journal,0.479,Q2
Experimental Lung Research,0.479,Q3
Express Polymer Letters,0.479,Q2
Flavour and Fragrance Journal,0.479,Q2
Forensic Science International: Animals and Environments,0.479,Q2
Infancia y Aprendizaje,0.479,Q2
JPRAS Open,0.479,Q2
Journal of Analytical Science and Technology,0.479,Q2
Journal of Chemotherapy,0.479,Q3
Journal of Economic Structures,0.479,Q2
Journal of Foodservice Business Research,0.479,Q2
Journal of Microbiological Methods,0.479,Q3
Nefrologia,0.479,Q3
ORL,0.479,Q2
Open Economies Review,0.479,Q2
Power Generation Technology,0.479,Q2
Qualitative Research Journal,0.479,Q2
Structure and Bonding,0.479,Q2
Surfaces,0.479,Q2
Taiwan Journal of Ophthalmology,0.479,Q2
Thyroid Research,0.479,Q3
World Journal of Nephrology,0.479,Q2
Action in Teacher Education,0.478,Q2
Analytical Methods,0.478,Q2
Annals of Noninvasive Electrocardiology,0.478,Q3
Avian Conservation and Ecology,0.478,Q2
Child's Nervous System,0.478,Q2
Contrastive Pragmatics,0.478,Q1
Dermatology Practical and Conceptual,0.478,Q2
Diagnostic and Interventional Radiology,0.478,Q2
Europhysics Letters,0.478,Q2
Foundations of Physics,0.478,Q1
Horizontes Antropologicos,0.478,Q1
International Journal of Information Technology and Decision Making,0.478,Q2
Iranian Polymer Journal (English Edition),0.478,Q2
Journal of Asset Management,0.478,Q2
Journal of Computational and Nonlinear Dynamics,0.478,Q2
Journal of Electroceramics,0.478,Q2
Journal of Human Reproductive Sciences,0.478,Q3
Journal of Thermal Stresses,0.478,Q2
Smart Grids and Sustainable Energy,0.478,Q2
Statistics and Probability Letters,0.478,Q2
Stroke Research and Treatment,0.478,Q3
Studia Historica Slovenica,0.478,Q1
Theory and Decision,0.478,Q1
American Journal of Veterinary Research,0.477,Q2
Bulletin of the Korean Chemical Society,0.477,Q2
Comparative Studies in Society and History,0.477,Q1
European Journal of Plant Pathology,0.477,Q2
Forest and Society,0.477,Q2
IEEE International Reliability Physics Symposium Proceedings,0.477,-
IEEE Journal of Quantum Electronics,0.477,Q2
International Journal of Low-Carbon Technologies,0.477,Q1
Journal of Current Ophthalmology,0.477,Q3
Journal of Modern African Studies,0.477,Q2
Language Resources and Evaluation,0.477,Q1
Latin American Perspectives,0.477,Q2
Medical Humanities,0.477,Q1
Mineral Deposits,0.477,Q2
Minerva Obstetrics and Gynecology,0.477,Q3
"Parallel Architectures and Compilation Techniques - Conference Proceedings, PACT",0.477,-
Physiological Entomology,0.477,Q2
Population Ecology,0.477,Q2
Quantum Information Processing,0.477,Q2
Revista Clinica Espanola,0.477,Q3
South African Journal of Physiotherapy,0.477,Q2
Turkish Journal of Gastroenterology,0.477,Q3
Advanced Optical Technologies,0.476,Q2
Australian Journal of Political Science,0.476,Q2
Biofouling,0.476,Q2
Blockchain in Healthcare Today,0.476,Q3
Climate Research,0.476,Q2
Cogent Engineering,0.476,Q2
Fennia,0.476,Q2
International Journal of Accounting,0.476,Q2
International Journal of Applied Glass Science,0.476,Q2
International Journal of Early Years Education,0.476,Q2
International Journal of Health Governance,0.476,Q2
"Journal of Sustainable Development of Energy, Water and Environment Systems",0.476,Q2
Magnetic Resonance Imaging Clinics of North America,0.476,Q2
Modern Asian Studies,0.476,Q1
Progress in Artificial Intelligence,0.476,Q3
SPE Polymers,0.476,Q2
Sexual and Relationship Therapy,0.476,Q3
Student Success,0.476,Q2
Surface Topography: Metrology and Properties,0.476,Q2
Town Planning Review,0.476,Q2
Tree Genetics and Genomes,0.476,Q2
Acta Entomologica Musei Nationalis Pragae,0.475,Q2
Colloids and Interfaces,0.475,Q2
Current Issues in Auditing,0.475,Q3
Eurasian Soil Science,0.475,Q2
European Journal of Prosthodontics and Restorative Dentistry,0.475,Q2
Island Arc,0.475,Q2
Journal of Advanced Dielectrics,0.475,Q2
Journal of Control and Decision,0.475,Q2
Journal of Disability Studies in Education,0.475,Q2
Journal of Electronic Materials,0.475,Q2
Journal of Evidence-Based Social Work (United States),0.475,Q2
Journal of the Optical Society of America B: Optical Physics,0.475,Q2
Management in Education,0.475,Q2
Mathematics and Financial Economics,0.475,Q2
Methods and Applications in Fluorescence,0.475,Q2
Religious Studies,0.475,Q1
Revue Suisse de Zoologie,0.475,Q2
Salamandra,0.475,Q2
Subterranean Biology,0.475,Q2
Sugar Tech,0.475,Q2
Water Science and Technology: Water Supply,0.475,Q2
Atlantic Geoscience,0.474,Q2
Brazilian Dental Journal,0.474,Q2
British Politics,0.474,Q1
Clinical Teacher,0.474,Q2
Future Cardiology,0.474,Q3
Health SA Gesondheid,0.474,Q3
Innovations in Clinical Neuroscience,0.474,Q3
Interdisciplinary Perspectives on Infectious Diseases,0.474,Q2
International Journal of Information and Communication Technology Education,0.474,Q2
"International Journal on Child Maltreatment: Research, Policy and Practice",0.474,Q1
Journal of Children's Services,0.474,Q1
Journal of Hand Surgery Global Online,0.474,Q2
Journal of International Medical Research,0.474,Q3
Journal of Mathematical Neuroscience,0.474,Q3
Journal of Medical Artificial Intelligence,0.474,Q3
Journal of Social Service Research,0.474,Q2
Knowledge and Management of Aquatic Ecosystems,0.474,Q2
Optimal Control Applications and Methods,0.474,Q2
Pharmacological Research - Modern Chinese Medicine,0.474,Q2
Polar Research,0.474,Q2
SPAL,0.474,Q1
Tetrahedron Green Chem,0.474,Q2
Tribology Transactions,0.474,Q2
AKCE International Journal of Graphs and Combinatorics,0.473,Q2
Child Care in Practice,0.473,Q2
Discrete Optimization,0.473,Q2
Fuel Cells,0.473,Q2
Heat Transfer,0.473,Q2
IEEE Engineering Management Review,0.473,Q2
International Journal of Exercise Science,0.473,Q2
International Journal on Digital Libraries,0.473,Q2
Ironmaking and Steelmaking,0.473,Q2
Journal of Gambling Issues,0.473,Q3
Journal of Mathematical Chemistry,0.473,Q2
"Journal of Vacuum Science and Technology A: Vacuum, Surfaces and Films",0.473,Q2
Journal of Veterinary Medical Education,0.473,Q2
Journal of the Australian Mathematical Society,0.473,Q2
Journal of the Indian Chemical Society,0.473,Q2
Materials Science and Technology (United Kingdom),0.473,Q2
Microscopy Research and Technique,0.473,Q2
Opuscula,0.473,Q1
Orthopedics,0.473,Q2
Phonology,0.473,Q1
Toxicology and Industrial Health,0.473,Q3
Zeitschrift fur Arbeits- und Organisationspsychologie,0.473,Q3
Advanced Robotics,0.472,Q2
Anaesthesiology Intensive Therapy,0.472,Q2
Archives Europeennes de Sociologie,0.472,Q2
BioInvasions Records,0.472,Q2
Bioorganic and Medicinal Chemistry Letters,0.472,Q2
Brazilian Oral Research,0.472,Q2
Distinktion,0.472,Q2
IEEE Instrumentation and Measurement Magazine,0.472,Q2
Journal of Aerospace Engineering,0.472,Q2
Journal of Ambulatory Care Management,0.472,Q3
Journal of Pharmacy Practice,0.472,Q1
Journal of Science Communication,0.472,Q2
Journal of Teaching in Travel and Tourism,0.472,Q2
Journal of Veterinary Research (Poland),0.472,Q2
London Review of International Law,0.472,Q1
Marine Biodiversity,0.472,Q2
Military Medicine,0.472,Q3
Networks and Spatial Economics,0.472,Q2
New Generation Computing,0.472,Q2
Nonprofit Policy Forum,0.472,Q2
Radiation and Environmental Biophysics,0.472,Q2
Religion and Education,0.472,Q1
Surgical and Radiologic Anatomy,0.472,Q2
Australian Economic Papers,0.471,Q2
Australian Journal of Career Development,0.471,Q2
Biofuels,0.471,Q3
Biomicrofluidics,0.471,Q2
Clinical Biomechanics,0.471,Q3
Environmental Engineering Science,0.471,Q2
European Clinical Respiratory Journal,0.471,Q3
H2Open Journal,0.471,Q2
Information Polity,0.471,Q2
International Journal of Orthopaedic and Trauma Nursing,0.471,Q1
Journal of Applied Biomechanics,0.471,Q2
Journal of Banking Regulation,0.471,Q2
Journal of Infrastructure Systems,0.471,Q2
Journal of Nanofluids,0.471,Q2
Journal of Poultry Science,0.471,Q2
Marine Geophysical Research,0.471,Q2
Post-Communist Economies,0.471,Q2
Procedia Computer Science,0.471,-
Psychology in Russia: State of the Art,0.471,Q1
Scandinavian Journal of Clinical and Laboratory Investigation,0.471,Q3
Tax Policy and the Economy,0.471,Q2
Unity and Dialogue,0.471,Q1
Agrekon,0.470,Q2
Arthropod Structure and Development,0.470,Q2
Digital Finance,0.470,Q2
Energy Exploration and Exploitation,0.470,Q2
"Forensic Science, Medicine, and Pathology",0.470,Q2
"Geografiska Annaler, Series A: Physical Geography",0.470,Q2
Hygiene,0.470,Q2
Indagationes Mathematicae,0.470,Q2
Insights: the UKSG Journal,0.470,Q2
Integrative Psychological and Behavioral Science,0.470,Q1
"JSES Reviews, Reports, and Techniques",0.470,Q2
Journal of Applied Genetics,0.470,Q3
Journal of Chemical Thermodynamics,0.470,Q2
Journal of Emergency Medicine,0.470,Q2
Materialy po Arkheologii i Istorii Antichnogo i Srednevekovogo Prichernomor'ya,0.470,Q1
Medicinal Chemistry Research,0.470,Q2
Nano Express,0.470,Q2
Oral Health and Preventive Dentistry,0.470,Q2
Petroleum Geology and Oilfield Development in Daqing,0.470,Q2
Strojniski Vestnik/Journal of Mechanical Engineering,0.470,Q2
Translation and Translanguaging in Multilingual Contexts,0.470,Q1
Water International,0.470,Q2
Women's Studies in Communication,0.470,Q2
Accounting Research Journal,0.469,Q2
American Journal of Enology and Viticulture,0.469,Q2
Applied General Topology,0.469,Q2
Communication and Critical/ Cultural Studies,0.469,Q1
International Journal of Dynamics and Control,0.469,Q2
JIMD Reports,0.469,Q2
Journal of Economics and Finance,0.469,Q2
Journal of Elder Abuse and Neglect,0.469,Q2
Journal of Nanoparticle Research,0.469,Q2
Journal of Osteoporosis,0.469,Q3
Journal of Solar Energy Engineering,0.469,Q2
Magnetic Resonance Letters,0.469,Q2
Maternal-Fetal Medicine,0.469,Q2
Medicine (United States),0.469,Q3
Process Integration and Optimization for Sustainability,0.469,Q2
Proteome Science,0.469,Q3
Women and Therapy,0.469,Q2
Arabian Archaeology and Epigraphy,0.468,Q1
Clinical Infection in Practice,0.468,Q3
Combustion Science and Technology,0.468,Q2
Community Ecology,0.468,Q2
Economics and Sociology,0.468,Q2
Forum (Germany),0.468,Q2
Frontiers in Blockchain,0.468,Q2
IAWA Journal,0.468,Q2
IEEE Journal on Multiscale and Multiphysics Computational Techniques,0.468,Q2
Indian Journal of Pediatrics,0.468,Q2
International Journal of the Economics of Business,0.468,Q2
"JAOCS, Journal of the American Oil Chemists' Society",0.468,Q2
Journal of Cancer Research and Therapeutics,0.468,Q2
Journal of Comparative Family Studies,0.468,Q1
Journal of Craniovertebral Junction and Spine,0.468,Q2
Journal of Electrochemical Energy Conversion and Storage,0.468,Q2
Journal of Marine Science and Application,0.468,Q2
Journal of Taibah University for Science,0.468,Q2
Journal of Technology in Human Services,0.468,Q2
Plasmonics,0.468,Q3
Psychiatric Genetics,0.468,Q3
"Religion, State and Society",0.468,Q1
Sequential Analysis,0.468,Q2
Social Inclusion,0.468,Q2
Traffic Safety Research,0.468,Q2
Tropical Conservation Science,0.468,Q2
Anesthesiology and Pain Medicine,0.467,Q2
Arts and Humanities in Higher Education,0.467,Q1
Critical African Studies,0.467,Q1
"Families, Relationships and Societies",0.467,Q2
Filomat,0.467,Q2
GeoInformatica,0.467,Q2
Handbook of Environmental Chemistry,0.467,Q2
Huanjing Kexue/Environmental Science,0.467,Q2
International Journal of Intelligent Robotics and Applications,0.467,Q3
International Journal of Multicultural Education,0.467,Q1
Journal of Wound Care,0.467,Q2
MSMR,0.467,Q3
Minimax Theory and its Applications,0.467,Q2
Nordic Journal of Studies in Educational Policy,0.467,Q2
Review of Behavioral Finance,0.467,Q2
Symmetry,0.467,Q2
Tropical Zoology,0.467,Q2
"Vestnik Udmurtskogo Universiteta: Matematika, Mekhanika, Komp'yuternye Nauki",0.467,Q2
Acta Analytica,0.466,Q1
Archivos de Bronconeumologia,0.466,Q3
Cereal Research Communications,0.466,Q2
Cuadernos de Prehistoria y Arqueologia de la Universidad de Granada,0.466,Q1
Footwear Science,0.466,Q2
Geologica Belgica,0.466,Q2
Heart International,0.466,Q3
Hystrix,0.466,Q2
Jianzhu Jiegou Xuebao/Journal of Building Structures,0.466,Q2
Journal of Communication Inquiry,0.466,Q1
Molecular and Clinical Oncology,0.466,Q3
Quintessence International,0.466,Q2
Small-scale Forestry,0.466,Q2
Adapted Physical Activity Quarterly,0.465,Q2
Analysis Mathematica,0.465,Q2
Clinical Pediatric Endocrinology,0.465,Q2
Indian Journal of Palliative Care,0.465,Q3
Journal of Chromatography Open,0.465,Q2
Journal of Medical Ethics and History of Medicine,0.465,Q1
Microscopy and Microanalysis,0.465,Q2
Multidimensional Systems and Signal Processing,0.465,Q2
Peace and Conflict,0.465,Q2
Philosophia Mathematica,0.465,Q1
Photochem,0.465,Q2
Spatial Information Research,0.465,Q2
Systems Research and Behavioral Science,0.465,Q2
Virtual Archaeology Review,0.465,Q1
Chaos Theory and Applications,0.464,Q1
China Review,0.464,Q1
Foundations of Data Science,0.464,Q2
German Journal of Agricultural Economics,0.464,Q2
International Sports Law Journal,0.464,Q1
JASA Express Letters,0.464,Q1
Journal of Anthropological Research,0.464,Q1
"Journal of Economics, Race, and Policy",0.464,Q2
Journal of Mining and Strata Control Engineering,0.464,Q2
Journal of Pediatric Ophthalmology and Strabismus,0.464,Q2
Nonautonomous Dynamical Systems,0.464,Q2
Resource Geology,0.464,Q2
Respiratory Medicine and Research,0.464,Q3
Rural Special Education Quarterly,0.464,Q2
SERIEs,0.464,Q2
South African Geographical Journal,0.464,Q2
Welding Journal,0.464,Q2
World Journal of Experimental Medicine,0.464,Q3
Zhongguo Tiedao Kexue/China Railway Science,0.464,Q2
African Journal of AIDS Research,0.463,Q3
Aging and Health Research,0.463,Q3
Apeiron,0.463,Q1
Asian Pacific Journal of Social Work,0.463,Q2
Critical Studies in Media Communication,0.463,Q2
Eurasian Mining,0.463,Q2
International Journal of Civil Engineering,0.463,Q2
International Journal of Differential Equations,0.463,Q2
International Journal of Physical Modelling in Geotechnics,0.463,Q2
Journal of Coatings Technology and Research,0.463,Q2
"Journal of Dynamic Systems, Measurement and Control",0.463,Q2
Journal of Peptide Science,0.463,Q3
Journal of Pharmacopuncture,0.463,Q2
Lifestyle Medicine,0.463,Q2
Pharmaceutical Development and Technology,0.463,Q2
Applied Nanoscience (Switzerland),0.462,Q2
Australian Journal of General Practice,0.462,Q2
Communication Research and Practice,0.462,Q2
Communications in Statistics - Theory and Methods,0.462,Q3
Computational and Mathematical Organization Theory,0.462,Q2
Education Policy Analysis Archives,0.462,Q2
Electric Power Engineering Technology,0.462,Q2
Formal Aspects of Computing,0.462,Q3
Infants and Young Children,0.462,Q2
Integration,0.462,Q2
International Journal of Communication Systems,0.462,Q2
Journal of Asian Ceramic Societies,0.462,Q2
Journal of Dance Medicine and Science,0.462,Q1
Journal of Essential Oil Research,0.462,Q2
Journal of Horticultural Science and Biotechnology,0.462,Q2
"Journal of Intellectual Property, Information Technology and E-Commerce Law",0.462,Q1
Journal of Regulatory Economics,0.462,Q2
Journal of the American Veterinary Medical Association,0.462,Q2
Kyoto Journal of Mathematics,0.462,Q2
Landscape Online,0.462,Q2
Learning Organization,0.462,Q2
Neuroradiology Journal,0.462,Q3
Ontario Health Technology Assessment Series,0.462,Q3
Plasma Chemistry and Plasma Processing,0.462,Q2
Quality Assurance in Education,0.462,Q2
Rural Theology,0.462,Q1
Scientia Pharmaceutica,0.462,Q2
Veterinary Clinical Pathology,0.462,Q2
Advances in Anatomy Embryology and Cell Biology,0.461,Q2
Brazilian Journal of Anesthesiology (English Edition),0.461,Q2
Current Pediatric Reviews,0.461,Q2
Dementia and Geriatric Cognitive Disorders Extra,0.461,Q3
Electronic Journal of Graph Theory and Applications,0.461,Q2
European Journal of Materials,0.461,Q2
Frontiers of Earth Science,0.461,Q2
Gynecologic Oncology Reports,0.461,Q3
Hand Surgery and Rehabilitation,0.461,Q2
Journal of Computer Virology and Hacking Techniques,0.461,Q2
Journal of Educational and Psychological Consultation,0.461,Q3
Journal of Neurosurgical Sciences,0.461,Q2
Journal of Pharmacological and Toxicological Methods,0.461,Q3
Journal of Plant Nutrition,0.461,Q2
Management (France),0.461,Q2
Mediterranean Journal of Hematology and Infectious Diseases,0.461,Q3
Mitteilungen aus dem Museum fur Naturkunde in Berlin - Deutsche Entomologische Zeitschrift,0.461,Q2
Preparative Biochemistry and Biotechnology,0.461,Q3
"Propellants, Explosives, Pyrotechnics",0.461,Q2
Rethinking Ecology,0.461,Q2
Science of Sintering,0.461,Q2
Seminars in Speech and Language,0.461,Q2
South African Journal of Communication Disorders,0.461,Q1
Applied Set-Valued Analysis and Optimization,0.460,Q2
Atoms,0.460,Q2
"City, Territory and Architecture",0.460,Q1
Coronary Artery Disease,0.460,Q3
Critical Care Nurse,0.460,Q2
Development Southern Africa,0.460,Q2
Finance and Society,0.460,Q1
Global Pediatric Health,0.460,Q2
History and Philosophy of Logic,0.460,Q1
International Journal of Agronomy,0.460,Q2
Journal of Bryology,0.460,Q2
Journal of Palestine Studies,0.460,Q2
Journal of the American Association of Nurse Practitioners,0.460,Q2
Journal of the American Mosquito Control Association,0.460,Q2
Marketing Education Review,0.460,Q2
Mathematical Inequalities and Applications,0.460,Q2
Measurement,0.460,Q2
Nutrition and Health,0.460,Q3
"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM",0.460,-
Skin Appendage Disorders,0.460,Q2
Studies in Indian Politics,0.460,Q2
Tohoku Journal of Experimental Medicine,0.460,Q2
Applied Animal Science,0.459,Q2
Ardeola,0.459,Q2
Behavioral Sciences and the Law,0.459,Q1
Canadian Journal of Administrative Sciences,0.459,Q2
Central European Management Journal,0.459,Q2
Contemporary European History,0.459,Q1
Crop and Pasture Science,0.459,Q2
Current Issues in Personality Psychology,0.459,Q3
Engineering Reports,0.459,Q2
European Journal of Inorganic Chemistry,0.459,Q2
Folia Parasitologica,0.459,Q2
Growth Factors,0.459,Q3
Holistic Nursing Practice,0.459,Q2
Human Geography (United Kingdom),0.459,Q1
IET Systems Biology,0.459,Q2
International Journal of Image and Data Fusion,0.459,Q2
International Journal of Pharmacy Practice,0.459,Q1
Journal of Agricultural and Resource Economics,0.459,Q2
Journal of Continuing Higher Education,0.459,Q2
Journal of Ecohydraulics,0.459,Q2
Journal of Ecology and Environment,0.459,Q2
Journal of Family and Community Medicine,0.459,Q2
Journal of Financial Data Science,0.459,Q2
Journal of Obstetrics and Gynaecology,0.459,Q3
Marine Geodesy,0.459,Q2
Orbit,0.459,Q3
Partner Abuse,0.459,Q1
Personalized Medicine,0.459,Q3
Photonics,0.459,Q2
Photonics and Nanostructures - Fundamentals and Applications,0.459,Q2
Art of Discrete and Applied Mathematics,0.458,Q2
Bratislava Medical Journal,0.458,Q3
Community Health Equity Research and Policy,0.458,Q2
Electrical Engineering,0.458,Q2
European Journal of Behavior Analysis,0.458,Q2
Indian Heart Journal,0.458,Q3
International Journal of Experimental Pathology,0.458,Q2
Iowa Law Review,0.458,Q1
Journal of Biomechanical Engineering,0.458,Q3
Journal of Communication in Healthcare,0.458,Q2
Journal of Heuristics,0.458,Q2
Journal of Innovative Optical Health Sciences,0.458,Q2
Journal of Korean Academy of Nursing Administration,0.458,Q2
Journal of Manipulative and Physiological Therapeutics,0.458,Q2
Journal of Teaching and Learning for Graduate Employability,0.458,Q2
Kew Bulletin,0.458,Q2
Learning and Motivation,0.458,Q2
Literacy,0.458,Q1
Open House International,0.458,Q1
Ozone: Science and Engineering,0.458,Q2
Protein Journal,0.458,Q3
Science Progress,0.458,Q1
Structural Engineering International,0.458,Q2
Transplant Immunology,0.458,Q2
Zhongguo Dianli/Electric Power,0.458,Q2
Advances in Accounting,0.457,Q2
African Security Review,0.457,Q1
Asian Journal of Atmospheric Environment,0.457,Q2
Croatian Medical Journal,0.457,Q3
Frontiers of Materials Science,0.457,Q2
Geochemical Transactions,0.457,Q2
Journal of Forensic and Legal Medicine,0.457,Q1
Journal of Medical Radiation Sciences,0.457,Q3
Journal of Philanthropy and Marketing,0.457,Q2
Languages,0.457,Q1
Meteorological Monthly,0.457,Q3
"Mining, Metallurgy and Exploration",0.457,Q2
Music and Science,0.457,Q1
Pain Management,0.457,Q2
Popular Music and Society,0.457,Q1
Production Engineering Archives,0.457,Q2
Public Organization Review,0.457,Q1
Serbian Astronomical Journal,0.457,Q3
Studies in Economics and Finance,0.457,Q2
Vibrational Spectroscopy,0.457,Q3
Violence and Gender,0.457,Q1
Acta Montanistica Slovaca,0.456,Q2
Applied Microbiology (Switzerland),0.456,Q2
Applied Spectroscopy,0.456,Q2
Asian Review of Accounting,0.456,Q2
Australian Journal of Civil Engineering,0.456,Q2
CIN - Computers Informatics Nursing,0.456,Q2
Comechingonia,0.456,Q1
Cultural Studies - Critical Methodologies,0.456,Q1
International Journal of Coal Preparation and Utilization,0.456,Q2
International Sociology,0.456,Q2
Legal Medicine,0.456,Q2
Methodist DeBakey Cardiovascular Journal,0.456,Q2
Natural Computing,0.456,Q3
Ostrich,0.456,Q2
Polish Journal of Food and Nutrition Sciences,0.456,Q2
Research in Education,0.456,Q2
Surface Science Spectra,0.456,Q2
Transport,0.456,Q2
Veterinary Parasitology: Regional Studies and Reports,0.456,Q2
AES: Journal of the Audio Engineering Society,0.455,Q1
Communication and Society,0.455,Q1
Critical Criminology,0.455,Q1
Developing Economies,0.455,Q2
Feminist Review,0.455,Q1
Foreign Trade Review,0.455,Q2
International Journal of Occupational Medicine and Environmental Health,0.455,Q3
International Review of the Red Cross,0.455,Q1
Journal of Business Cycle Research,0.455,Q2
Journal of Law and Society,0.455,Q1
Journal of Wine Economics,0.455,Q2
Lithosphere,0.455,Q2
New Zealand Medical Journal,0.455,Q3
Nordic Psychology,0.455,Q3
Ocean Science Journal,0.455,Q2
"Physics Letters, Section A: General, Atomic and Solid State Physics",0.455,Q2
Revista Espanola de la Transparencia,0.455,Q1
Smart Science,0.455,Q2
South African Journal of Economics,0.455,Q3
Survey Research Methods,0.455,Q2
Acta Biotheoretica,0.454,Q1
Animal Science Journal,0.454,Q2
Annales Universitatis Apulensis. Series Historica,0.454,Q1
Archives Animal Breeding,0.454,Q2
Critical Reviews in Immunology,0.454,Q3
Dementia e Neuropsychologia,0.454,Q3
Digital Library Perspectives,0.454,Q2
Diving and Hyperbaric Medicine,0.454,Q3
Evaluation Review,0.454,Q1
Evolutionary Behavioral Sciences,0.454,Q3
Interest Groups and Advocacy,0.454,Q2
International Journal of Education Through Art,0.454,Q1
International Journal of Internet Marketing and Advertising,0.454,Q3
Intervention in School and Clinic,0.454,Q2
Journal of Electric Propulsion,0.454,Q2
Journal of Ethnicity in Criminal Justice,0.454,Q1
"Journal of Infrared, Millimeter, and Terahertz Waves",0.454,Q2
Journal of Legal Affairs and Dispute Resolution in Engineering and Construction,0.454,Q1
Journal of Plastic Film and Sheeting,0.454,Q2
"Journal of Policing, Intelligence and Counter Terrorism",0.454,Q1
Journal of Radiological Protection,0.454,Q3
"Medicine, Science and the Law",0.454,Q1
Nitrogen (Switzerland),0.454,Q2
Plant Biotechnology,0.454,Q2
Rocky Mountain Journal of Mathematics,0.454,Q2
Scandinavian Journal of Information Systems,0.454,Q2
Social Work Research,0.454,Q2
Animal Welfare,0.453,Q2
Applied Phycology,0.453,Q2
Biomedical Glasses,0.453,Q2
Breast Journal,0.453,Q2
CYTA - Journal of Food,0.453,Q2
Cardiology in Review,0.453,Q3
Critical Inquiry,0.453,Q1
Emergency Radiology,0.453,Q2
"Endocrinologia, Diabetes y Nutricion",0.453,Q3
Fusion Science and Technology,0.453,Q2
Georgian Mathematical Journal,0.453,Q2
Hydrobiology,0.453,Q2
Insight,0.453,Q3
International Journal of Rehabilitation Research,0.453,Q2
Iranian Journal of Medical Sciences,0.453,Q2
Iranian Journal of Pharmaceutical Research,0.453,Q2
Journal of Alternative Investments,0.453,Q3
Journal of Electromagnetic Engineering and Science,0.453,Q2
Journal of Eurasian Studies,0.453,Q1
Journal of Family Therapy,0.453,Q2
Journal of Financial Crime,0.453,Q1
"Journal of Neurological Surgery, Part B: Skull Base",0.453,Q3
Journal of Non-Crystalline Solids: X,0.453,Q2
Journal of Policy Studies,0.453,Q2
Nursing Education Perspectives,0.453,Q2
Petrology,0.453,Q2
Review of Cognitive Linguistics,0.453,Q1
Stochastics,0.453,Q2
SynOpen,0.453,Q2
Acta Cardiologica Sinica,0.452,Q3
Beton- und Stahlbetonbau,0.452,Q2
Geophysica,0.452,Q2
Hand Clinics,0.452,Q2
IEEE International Test Conference (TC),0.452,-
Journal of Applied and Computational Mechanics,0.452,Q2
Journal of Cosmetic and Laser Therapy,0.452,Q2
Journal of Criminal Justice Education,0.452,Q1
Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering,0.452,Q2
Journal of Library Science in China,0.452,Q2
Journal of Long-Term Care,0.452,Q2
Journal of Navigation,0.452,Q2
Medieval Archaeology,0.452,Q1
Scandinavian Cardiovascular Journal,0.452,Q3
Turkish Journal of Agriculture and Forestry,0.452,Q2
Vietnam Journal of Earth Sciences,0.452,Q2
Acta Carsologica,0.451,Q2
Advances in Agriculture,0.451,Q2
American Journal of Ophthalmology Case Reports,0.451,Q3
Applied Optics,0.451,Q2
Atlas of the Oral and Maxillofacial Surgery Clinics of North America,0.451,Q2
Clinical Physiology and Functional Imaging,0.451,Q3
Discover Social Science and Health,0.451,Q2
Distributed and Parallel Databases,0.451,Q2
Drug Development and Industrial Pharmacy,0.451,Q2
Environmental Geotechnics,0.451,Q2
Forum Qualitative Sozialforschung,0.451,Q2
GEUS Bulletin,0.451,Q2
IET Wireless Sensor Systems,0.451,Q2
IZA Journal of Labor Policy,0.451,Q2
Ichnos,0.451,Q2
Jahrbucher fur Nationalokonomie und Statistik,0.451,Q2
Journal of Electrostatics,0.451,Q2
Journal of Sustainability Research,0.451,Q2
Jurnal Ilmiah Peuradeun,0.451,Q1
"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",0.451,Q2
Numerical Heat Transfer; Part A: Applications,0.451,Q2
Oxidation of Metals,0.451,Q2
Phytoparasitica,0.451,Q2
Proceedings - IEEE International Conference on Multimedia and Expo,0.451,-
Rendiconti Lincei,0.451,Q2
Science and Technology for the Built Environment,0.451,Q2
World Journal of Emergency Medicine,0.451,Q2
Anti-Corrosion Methods and Materials,0.450,Q2
Australian Journal of Forensic Sciences,0.450,Q3
Behaviormetrika,0.450,Q2
"CIRIEC-Espana Revista de Economia Publica, Social y Cooperativa",0.450,Q2
CMES - Computer Modeling in Engineering and Sciences,0.450,Q2
Canadian Journal of Physiology and Pharmacology,0.450,Q3
Cancer/Radiotherapie,0.450,Q3
Cellular Reprogramming,0.450,Q3
International Journal of Industrial Engineering Computations,0.450,Q2
Jamba: Journal of Disaster Risk Studies,0.450,Q2
Journal of Advanced Research in Micro and Nano Engineering,0.450,Q2
Journal of Agricultural and Applied Economics,0.450,Q2
Journal of Fractal Geometry,0.450,Q2
Journal of North African Studies,0.450,Q2
Nematropica,0.450,Q2
Plant Species Biology,0.450,Q2
Plant Systematics and Evolution,0.450,Q2
Revista Brasileira de Ginecologia e Obstetricia,0.450,Q3
Russian Journal of Herpetology,0.450,Q2
Scandinavian Journal of Work and Organizational Psychology,0.450,Q3
Strategies in Trauma and Limb Reconstruction,0.450,Q3
Women's Health Reports,0.450,Q2
Yustisia,0.450,Q1
